Process Count,Process Avg Time (ms),Process Jitter (ms),Process Avg Memory (KB),Thread Count,Thread Avg Time (ms),Thread Jitter (ms),Thread Avg Memory (KB)
10,3.684401512145996,0.3667318321679161,3980.8,10,1.963973045349121,0.17958383912593467,4108.8
50,10.977315902709961,0.1884553352953934,3980.8,50,2.6929378509521484,0.11907479328408796,4147.2
100,20.41926383972168,0.38595290899109796,3968.0,100,3.5688161849975586,0.07970323114734071,4211.2
200,38.17174434661865,0.9010700032301615,3955.2,200,5.752038955688477,0.47617762730916263,5056.0
500,92.38259792327881,1.9622677367527488,3968.0,500,10.723447799682617,0.3039760813041752,7449.6
1000,179.19609546661377,2.1568308530032314,3955.2,1000,19.88053321838379,0.6947368565904707,11584.0
